Standard Name,Date,Development/Amendment/Change Name,Comments/Changes
IFRS 1,"=""Apr-2001""","In April 2001 the International Accounting Standards Board (Board) adopted SIC-8 First-time Application of IASs as the Primary Basis of Accounting, which had been issued by the Standing Interpretations Committee of the International Accounting Standards Committee in July 1998.",
IFRS 1,"=""Jun-2003""",In June 2003 the Board issued IFRS 1 First-time Adoption of International Financial Reporting Standards to replace SIC-8.,
IFRS 1,"=""2007""","IAS 1 Presentation of Financial Statements (as revised in 2007) amended the terminology used throughout IFRS Standards, including IFRS 1.",
IFRS 1,"=""Nov-2008""",The Board restructured IFRS 1 in November 2008.,
IFRS 1,"=""Dec-2010""",In December 2010 the Board amended IFRS 1 to reflect that a first-time adopter would restate past transactions from the date of transition to IFRS Standards instead of at 1 January 2004.,
IFRS 1,"=""2003""","Since it was issued in 2003, IFRS 1 was amended to accommodate first-time adoption requirements resulting from new or amended Standards.",
IFRS 1,"=""May-2017""","Most recently, IFRS 1 was amended by IFRS 17 Insurance Contracts (issued May 2017), which added an exception to the retrospective application of IFRS 17 to require that first-time adopters apply the transition provisions in IFRS 17 to contracts within the scope of IFRS 17.",
IFRS 1,"=""May-2010""",Improvements to IFRSs,Minor consequential amendment to IFRS 1
IFRS 1,"=""Jan-2008""",Revised IFRS 3 Business Combinations,Minor consequential amendment to IFRS 1
IFRS 1,"=""Dec-2010""",Severe Hyperinflation and Removal of Fixed Dates for First-time Adopters (Amendments to IFRS 1),Minor consequential amendment to IFRS 1
IFRS 1,"=""May-2011""",IFRS 10 Consolidated Financial Statements,Minor consequential amendment to IFRS 1
IFRS 1,"=""May-2011""",IFRS 11 Joint Arrangements,Minor consequential amendment to IFRS 1
IFRS 1,"=""May-2011""",IFRS 13 Fair Value Measurement,Minor consequential amendment to IFRS 1
IFRS 1,"=""Jun-2011""",IAS 19 Employee Benefits,Minor consequential amendment to IFRS 1
IFRS 1,"=""Jun-2011""",Presentation of Items of Other Comprehensive Income (Amendments to IAS 1),Minor consequential amendment to IFRS 1
IFRS 1,"=""Oct-2011""",IFRIC 20 Stripping Costs in the Production Phase of a Surface Mine,Minor consequential amendment to IFRS 1
IFRS 1,"=""Mar-2012""",Government Loans,Minor consequential amendment to IFRS 1
IFRS 1,"=""May-2012""",Annual Improvements to IFRSs 2009-2011 Cycle,Minor consequential amendment to IFRS 1
IFRS 1,"=""Jun-2012""","Consolidated Financial Statements, Joint Arrangements and Disclosure of Interests in Other Entities: Transition Guidance (Amendments to IFRS 10, IFRS 11 and IFRS 12)",Minor consequential amendment to IFRS 1
IFRS 1,"=""Oct-2012""","Investment Entities (Amendments to IFRS 10, IFRS 12 and IAS 27)",Minor consequential amendment to IFRS 1
IFRS 1,"=""Nov-2013""","IFRS 9 Financial Instruments (Hedge Accounting and amendments to IFRS 9, IFRS 7 and IAS 39)",Minor consequential amendment to IFRS 1
IFRS 1,"=""Jan-2014""",IFRS 14 Regulatory Deferral Accounts,Minor consequential amendment to IFRS 1
IFRS 1,"=""May-2014""",Accounting for Acquisitions of Interests in Joint Operations (Amendments to IFRS 11),Minor consequential amendment to IFRS 1
IFRS 1,"=""May-2014""",IFRS 15 Revenue from Contracts with Customers,Minor consequential amendment to IFRS 1
IFRS 1,"=""Jul-2014""",IFRS 9 Financial Instruments,Minor consequential amendment to IFRS 1
IFRS 1,"=""Aug-2014""",Equity Method in Separate Financial Statements (Amendments to IAS 27),Minor consequential amendment to IFRS 1
IFRS 1,"=""Jan-2016""",IFRS 16 Leases,Minor consequential amendment to IFRS 1
IFRS 1,"=""Dec-2016""",Annual Improvements to IFRS Standards 2014-2016 Cycle,Minor consequential amendment to IFRS 1
IFRS 1,"=""Dec-2016""","which deleted several lapsed short-term exemptions, IFRIC 22 Foreign Currency Transactions and Advance Consideration",Minor consequential amendment to IFRS 1
IFRS 1,"=""Jun-2017""",IFRIC 23 Uncertainty over Income Tax Treatments,Minor consequential amendment to IFRS 1
IFRS 1,"=""Mar-2018""",Amendments to References to the Conceptual Framework in IFRS Standards,Minor consequential amendment to IFRS 1
IFRS 1,"=""May-2020""",Annual Improvements to IFRS Standards 2018-2020,Minor consequential amendment to IFRS 1
IFRS 1,"=""May-2021""",Deferred Tax related to Assets and Liabilities arising from a Single Transaction,Minor consequential amendment to IFRS 1
IFRS 1,"=""Aug-2023""",Lack of Exchangeability (Amendments to IAS 21),Minor consequential amendment to IFRS 1
IFRS 1,"=""Jul-2024""",Annual Improvements to IFRS Accounting Standards-Volume 11,Minor consequential amendment to IFRS 1
IFRS 1,"=""Apr-2024""",IFRS 18 Presentation and Disclosure in Financial Statements and IFRS 19 Subsidiaries without Public Accountability: Disclosures,Minor consequential amendment to IFRS 1
IFRS 2,"=""Feb-2004""",In February 2004 the International Accounting Standards Board (Board) issued IFRS 2 Share-based Payment.,
IFRS 2,"=""Jan-2008""",The Board amended IFRS 2 to clarify its scope in January 2008 and to incorporate the guidance contained in two related Interpretations (IFRIC 8 Scope of IFRS 2 and IFRIC 11 IFRS 2-Group and Treasury Share Transactions) in June 2009.,
IFRS 2,"=""Jun-2016""",In June 2016 the Board issued Classification and Measurement of Share-based Payment Transactions (Amendments to IFRS 2). This amended IFRS 2 to clarify the accounting for (a) the effects of vesting and non-vesting conditions on the measurement of cash-settled share-based payments; (b) share-based payment transactions with a net settlement feature for withholding tax obligations; and (c) a modification to the terms and conditions of a share-based payment that changes the classification of the transaction from cash-settled to equity-settled.,
IFRS 2,"=""May-2011""",IFRS 10 Consolidated Financial Statements,Minor consequential amendment to IFRS 2
IFRS 2,"=""May-2011""",IFRS 11 Joint Arrangements,Minor consequential amendment to IFRS 2
IFRS 2,"=""May-2011""",IFRS 13 Fair Value Measurement,Minor consequential amendment to IFRS 2
IFRS 2,"=""Dec-2013""",Annual Improvements to IFRSs 2010-2012 Cycle,Minor consequential amendment to IFRS 2
IFRS 2,"=""Jul-2014""",IFRS 9 Financial Instruments,Minor consequential amendment to IFRS 2
IFRS 2,"=""Mar-2018""",Amendments to References to the Conceptual Framework in IFRS Standards and Definition of Material (Amendments to IAS 1 and IAS 8),Minor consequential amendment to IFRS 2
IFRS 3,"=""Apr-2001""","In April 2001 the International Accounting Standards Board (Board) adopted IAS 22 Business Combinations, which had originally been issued by the International Accounting Standards Committee in October 1998.",
IFRS 3,"=""Nov-1983""",IAS 22 was itself a revised version of IAS 22 Business Combinations that was issued in November 1983.,
IFRS 3,"=""Mar-2004""","In March 2004 the Board replaced IAS 22 and three related Interpretations (SIC-9 Business Combinations-Classification either as Acquisitions or Unitings of Interests, SIC-22 Business Combinations-Subsequent Adjustment of Fair Values and Goodwill Initially Reported and SIC-28 Business Combinations-‘Date of Exchange’ and Fair Value of Equity Instruments) when it issued IFRS 3 Business Combinations.",
IFRS 3,"=""Mar-2004""","Minor amendments were made to IFRS 3 in March 2004 by IFRS 5 Non-current Assets Held for Sale and Discontinued Operations and IAS 1 Presentation of Financial Statements (as revised in September 2007), which amended the terminology used throughout the Standards, including IFRS 3.",
IFRS 3,"=""Jan-2008""",In January 2008 the Board issued a revised IFRS 3. Please refer to Background Information in the Basis for Conclusions on IFRS 3 for a fuller description of those revisions.,
IFRS 3,"=""Oct-2018""","In October 2018, the Board amended IFRS 3 by issuing Definition of a Business (Amendments to IFRS 3). This amended IFRS 3 to narrow and clarify the definition of a business, and to permit a simplified assessment of whether an acquired set of activities and assets is a group of assets rather than a business.",
IFRS 3,"=""May-2020""","In May 2020, the Board amended IFRS 3 by issuing Reference to the Conceptual Framework. This updated a reference in IFRS 3 and made further amendments to avoid unintended consequences of updating the reference.",
IFRS 3,"=""May-2010""",Improvements to IFRSs,Minor consequential amendment to IFRS 3
IFRS 3,"=""May-2011""",IFRS 10 Consolidated Financial Statements,Minor consequential amendment to IFRS 3
IFRS 3,"=""May-2011""",IFRS 13 Fair Value Measurement,Minor consequential amendment to IFRS 3
IFRS 3,"=""Oct-2012""","Investment Entities (Amendments to IFRS 10, IFRS 12 and IAS 27)",Minor consequential amendment to IFRS 3
IFRS 3,"=""Nov-2013""","IFRS 9 Financial Instruments (Hedge Accounting and amendments to IFRS 9, IFRS 7 and IAS 39)",Minor consequential amendment to IFRS 3
IFRS 3,"=""Dec-2013""",Annual Improvements to IFRSs 2010-2012 Cycle,Minor consequential amendment to IFRS 3
IFRS 3,"=""Dec-2013""",Annual Improvements to IFRSs 2011-2013 Cycle,Minor consequential amendment to IFRS 3
IFRS 3,"=""May-2014""",IFRS 15 Revenue from Contracts with Customers,Minor consequential amendment to IFRS 3
IFRS 3,"=""Jul-2014""",IFRS 9 Financial Instruments,Minor consequential amendment to IFRS 3
IFRS 3,"=""Jan-2016""",IFRS 16 Leases,Minor consequential amendment to IFRS 3
IFRS 3,"=""May-2017""",IFRS 17 Insurance Contracts,Minor consequential amendment to IFRS 3
IFRS 3,"=""Dec-2017""",Annual Improvements to IFRS Standards 2015-2017 Cycle,Minor consequential amendment to IFRS 3
IFRS 3,"=""Mar-2018""",Amendments to References to the Conceptual Framework in IFRS Standards,Minor consequential amendment to IFRS 3
IFRS 3,"=""Jun-2020""",Amendments to IFRS 17 and IFRS 18 Presentation and Disclosure in Financial Statements,Minor consequential amendment to IFRS 3
IFRS 5,"=""Apr-2001""","In April 2001 the International Accounting Standards Board (Board) adopted IAS 35 Discontinuing Operations, which had originally been issued by the International Accounting Standards Committee in June 1998.",
IFRS 5,"=""Mar-2004""",In March 2004 the Board issued IFRS 5 Non-current Assets Held for Sale and Discontinued Operations to replace IAS 35.,
IFRS 5,"=""Apr-2009""",Improvement to IFRSs,Minor consequential amendment to IFRS 5
IFRS 5,"=""May-2011""",IFRS 11 Joint Arrangements,Minor consequential amendment to IFRS 5
IFRS 5,"=""May-2011""",IFRS 13 Fair Value Measurement,Minor consequential amendment to IFRS 5
IFRS 5,"=""Jun-2011""",Presentation of Items of Other Comprehensive Income (Amendments to IAS 1),Minor consequential amendment to IFRS 5
IFRS 5,"=""Nov-2013""","IFRS 9 Financial Instruments (Hedge Accounting and amendments to IFRS 9, IFRS 7 and IAS 39)",Minor consequential amendment to IFRS 5
IFRS 5,"=""Jul-2014""",IFRS 9 Financial Instruments,Minor consequential amendment to IFRS 5
IFRS 5,"=""Sep-2014""",Annual Improvements to IFRSs 2012-2014 Cycle,Minor consequential amendment to IFRS 5
IFRS 5,"=""Jan-2016""",IFRS 16 Leases,Minor consequential amendment to IFRS 5
IFRS 5,"=""May-2017""",IFRS 17 Insurance Contracts,Minor consequential amendment to IFRS 5
IFRS 5,"=""Mar-2018""",Amendments to References to the Conceptual Framework in IFRS Standards,Minor consequential amendment to IFRS 5
IFRS 5,"=""Apr-2024""",IFRS 18 Presentation and Disclosure in Financial Statements and IFRS 19 Subsidiaries without Public Accountability: Disclosures,Minor consequential amendment to IFRS 5
IFRS 6,"=""Dec-2004""",In December 2004 the International Accounting Standards Board issued IFRS 6 Exploration for and Evaluation of Mineral Resources.,
IFRS 6,"=""Mar-2018""",Amendments to References to the Conceptual Framework in IFRS Standards and IFRS 18 Presentation and Disclosure in Financial Statements,Minor consequential amendment to IFRS 6
IFRS 7,"=""Apr-2001""","In April 2001 the International Accounting Standards Board (Board) adopted IAS 30 Disclosures in the Financial Statements of Banks and Similar Financial Institutions, which had originally been issued by the International Accounting Standards Committee in August 1990.",
IFRS 7,"=""Aug-2005""","In August 2005 the Board issued IFRS 7 Financial Instruments, which replaced IAS 30 and carried forward the disclosure requirements in IAS 32 Financial Instruments: Disclosure and Presentation. IAS 32 was subsequently renamed as IAS 32 Financial Instruments: Presentation.",
IFRS 7,"=""2007""","IAS 1 Presentation of Financial Statements (as revised in 2007) amended the terminology used throughout IFRS, including IFRS 7.",
IFRS 7,"=""Mar-2009""","In March 2009 the IASB enhanced the disclosures about fair value and liquidity risks in IFRS 7. The Board also amended IFRS 7 to reflect that a new financial instruments Standard was issued-IFRS 9 Financial Instruments, which related to the classification of financial assets and financial liabilities.",
