IAS,Date,Development,Comments
1,March 1974,Exposure Draft E1 Disclosure of Accounting Policies,
1,January 1975,IAS 1 Disclosure of Accounting Policies issued,Operative for periods beginning on or after 1 January 1975
1,June 1975,Exposure Draft E5 Information to Be Disclosed in Financial Statements published,
1,October 1976,IAS 5 Information to Be Disclosed in Financial Statements issued,Operative for periods beginning on or after 1 January 1975
1,July 1978,Exposure Draft E14 Current Assets and Current Liabilities published,
1,November 1979,IAS 13 Presentation of Current Assets and Current Liabilities issued,Operative for periods beginning on or after 1 January 1981
1,1994,"IAS 1, IAS 5, and IAS 13 reformatted",
1,July 1996,Exposure Draft E53 Presentation of Financial Statements published,
1,August 1997,"IAS 1 Presentation of Financial Statements (1997) issued (Supersedes IAS 1 (1975), IAS 5, and IAS 13 (1979))",Operative for periods beginning on or after 1 July 1998
1,18 December 2003,IAS 1 Presentation of Financial Statements (2003) issued,Effective for annual periods beginning on or after 1 January 2005
1,18 August 2005,Amended by Amendment to IAS 1 — Capital Disclosures,Effective for annual periods beginning on or after 1 January 2007
1,16 March 2006,Exposure Draft Proposed Amendments to IAS 1 – A Revised Presentation published,Comment deadline 17 July 2006
1,22 June 2006,Exposure Draft Financial Instruments Puttable at Fair Value and Obligations Arising on Liquidation published,Comment deadline 23 October 2006
1,6 September 2007,IAS 1 Presentation of Financial Statements (2007) issued,Effective for annual periods beginning on or after 1 January 2009
1,14 February 2008,Amended by Puttable Financial Instruments and Obligations Arising on Liquidation,Effective for annual reporting periods beginning on or after 1 January 2009
1,22 May 2008,Amended by Annual Improvements to IFRSs 2007 (classification of derivatives as current or non-current),Effective for annual reporting periods beginning on or after 1 January 2009
1,16 April 2009,Amended by Improvements to IFRSs 2009 (classification of liabilities as current),Effective for annual periods beginning on or after 1 January 2010
1,6 May 2010,Amended by Improvements to IFRSs 2010 (clarification of statement of changes in equity),Effective for annual periods beginning on or after 1 January 2011
1,27 May 2010,Exposure Draft ED/2010/5 Presentation of Items of Other Comprehensive Income published,Comment deadline 30 September 2010
1,16 June 2011,Amended by Presentation of Items of Other Comprehensive Income,Effective for annual periods beginning on or after 1 July 2012
1,17 May 2012,Amended by Annual Improvements 2009-2011 Cycle (comparative information),Effective for annual periods beginning on or after 1 January 2013
1,18-Dec-14,Amended by Disclosure Initiative (Amendments to IAS 1) (project history),Effective for annual periods beginning on or after 1 January 2016
1,31-Oct-18,Amended by Definition of Material (Amendments to IAS 1 and IAS 8),Effective for annual periods beginning on or after 1 January 2020
1,23-Jan-20,Amended by Classification of Liabilities as Current or Non-current (Amendments to IAS 1),Effective for annual periods beginning on or after 1 January 2022
1,15-Jul-20,IASB defers effective date of Classification of Liabilities as Current or Non-current (Amendments to IAS 1) to 1 January 2022,The new effective date of the January 2020 amendments is now 1 January 2023
