IFRS,Date,Development,Comments
1,01-Sep-2001,Project added to IASB agenda,History of the project
1,31-Jul-2002,Exposure Draft ED 1 First-time Application of IFRSs published,Comment deadline 31 October 2002
1,01-Jun-2003,IFRS 1 First-time Adoption of IFRSs issued,Effective for the first IFRS financial statements for a period beginning on or after 1 January 2004
1,30-Jun-2005,Amended by Amendments to IFRS 1 First-time Adoption of International Financial Reporting Standards and IFRS 6 Exploration for and Evaluation of Mineral Resources (more information),"A minor amendment to clarify that the exemption in relation to IFRS 6 applies to the recognition and measurement requirements of IFRS 6, as well as the disclosure requirements."
1,22-May-2008,"Amended by Amendments to IFRS 1 and IAS 27 — Cost of an Investment in a Subsidiary, Jointly Controlled Entity or Associate",Effective for annual periods beginning on or after 1 January 2009
1,24-Nov-2008,Restructured version of IFRS 1 issued,Effective if an entity's first IFRS financial statements are for a period beginning on or after 1 July 2009
1,23-Jul-2009,"Amended by Additional Exemptions for First-time Adopters (Amendments to IFRS 1) (oil and gas assets, leases). Click for more information.",Effective for annual periods beginning on or after 1 January 2010
1,29-Jan-2010,Amended by Limited Exemption from Comparative IFRS 7 Disclosures for First-time Adopters (Amendment to IFRS 1). Click for more information,Effective for or annual periods beginning on or after 1 July 2010
1,06-May-2010,"Amended by Improvements to IFRSs (accounting policies changes, revaluation basis as deemed cost, rate regulation)",Effective for annual periods beginning on or after 1 July 2011
1,20-Dec-2010,Amended by Severe Hyperinflation and Removal of Fixed Dates for First-time Adopters (Amendment to IFRS 1). Click for more information,Effective for annual periods beginning on or after 1 July 2011
1,13-Mar-2012,Amended by Government Loans (Amendments to IFRS 1). Click for more information,Effective for annual periods beginning on or after 1 January 2013
1,17-May-2012,"Amended by Annual Improvements 2009-2011 Cycle (repeat application, borrowing costs). Click for more information",Effective for annual periods beginning on or after 1 January 2013
1,12-Dec-2013,Amended by Annual Improvements to IFRSs 2011–2013 Cycle (meaning of effective IFRSs). Click for more information,Amendment to basis for conclusions only
1,08-Dec-2016,Amended by Annual Improvements to IFRS Standards 2014–2016 Cycle (Deletion of short-term exemptions for first-time adopters). Click for more information,Effective for annual periods beginning on or after 1 January 2018
1,14-May-2020,Amended by Annual Improvements to IFRS Standards 2018–2020 (subsidiary as a first-time adopter). Click for more information,Effective for annual periods beginning on or after 1 January 2022
